#{"t_start": 1650127719.715501, "env_id": "BipedalWalker-v3"}
r,l,t
-102.463793,1600,422.639662
-107.870538,73,422.833442
-110.847318,46,422.995284
-113.433215,43,423.120022
-125.050794,1600,427.042037
-90.96799,1600,430.859506
-151.709371,1206,433.762259
-114.649396,405,434.777389
-95.435219,281,435.455055
-103.476856,182,435.903283
-93.82263,268,436.540326
-73.13494,526,437.809399
-108.559594,91,438.03874
-94.435485,317,438.777476
-77.234641,310,439.523192
-94.600483,155,439.884073
-121.165536,63,440.044387
-131.055289,116,440.331194
-98.326032,254,440.944237
-68.686258,427,441.976982
-105.151342,82,442.19967
-107.893415,121,442.49129
-118.579052,60,442.64885
-88.725837,277,443.339743
-118.824748,67,443.51247
-107.705275,46,443.627731
-77.575317,276,444.323718
-124.115908,80,444.509379
-112.424835,54,444.655282
-118.914097,67,444.809325
-100.331703,142,445.177306
-121.501838,61,445.335311
-109.946831,49,445.531686
-117.510664,53,445.672489
-121.293061,81,445.915512
-121.769309,66,446.132803
-128.79688,111,446.449163
-82.164068,331,447.398382
-94.301687,145,447.804001
-104.263067,234,448.521131
-91.41675,243,449.203668
-108.189998,119,449.543801
-96.201541,181,450.038322
-103.3225,198,450.596076
30.846211,1600,455.673647
-89.975703,1053,458.302225
152.539175,1600,462.254966
-96.572243,112,462.515968
-111.76001,63,462.691881
-89.96079,229,463.2526
-74.701418,465,464.464571
-47.096224,1549,468.316561
-112.181818,67,468.489947
-113.799591,85,468.703696
-115.739193,58,468.846341
-112.883701,75,469.034394
-115.444548,55,469.192624
-129.725927,44,469.306972
-113.380745,71,469.484364
-31.034589,1600,473.448389
-108.614496,63,473.598858
49.051904,1600,477.529875
-112.310566,35,477.623845
123.003544,1600,481.469383
-105.602907,59,481.602217
130.864863,1600,485.515281
-46.183363,494,486.719119
-90.665254,100,486.953646
-107.883815,44,487.065725
-107.930104,45,487.176085
-116.933327,59,487.329624
-108.08189,45,487.441855
-107.877956,44,487.558236
-111.159678,88,487.797231
-107.618696,46,487.915254
-107.422397,45,488.028004
-106.604271,46,488.148436
-107.257212,45,488.264842
-113.145779,110,488.546615
-106.90241,45,488.672337
-107.294581,45,488.775368
-107.006916,47,488.891402
-106.805523,46,489.006405
-106.117975,47,489.139183
-107.254727,46,489.249732
-107.167326,46,489.368526
-107.300644,45,489.472516
-106.259409,47,489.603113
-107.548853,45,489.721966
-100.955088,71,489.903419
-112.185967,52,490.024745
-107.962295,52,490.154906
-107.150636,47,490.284013
-99.960485,101,490.52506
-106.317674,48,490.651697
-107.294472,45,490.770142
-106.141486,46,490.884425
-107.251499,45,490.993002
-107.472658,47,491.126371
-106.538578,47,491.24301
-107.312481,45,491.365106
-107.406164,52,491.48456
-111.181468,56,491.63054
-106.77426,40,491.730716
-106.769753,37,491.824371
-106.273349,42,491.936114
-106.765148,43,492.047123
-114.3239,60,492.20716
-111.729242,61,492.357329
-106.569178,36,492.447474
-104.304527,53,492.581892
-106.905352,44,492.697509
-107.709821,47,492.814955
-108.894462,46,492.937829
-99.222174,82,493.153662
-91.889263,112,493.429651
-107.56624,39,493.528147
-110.208601,85,493.736266
-114.338129,73,493.924312
-107.254443,45,494.033279
-99.520383,76,494.234185
-120.657846,75,494.420386
-106.601851,45,494.531167
-106.213264,45,494.656476
-116.695698,59,494.806842
-106.35921,47,494.950235
-122.432805,109,495.22284
-107.226139,49,495.335896
-106.899886,43,495.461968
-112.623616,71,495.626008
-107.941197,47,495.751958
-102.037843,69,495.924419
-98.290473,82,496.138449
-109.040778,57,496.289896
-112.876421,79,496.491437
-129.85802,159,496.877806
-139.635244,190,497.345698
-109.410149,50,497.481913
-112.036729,72,497.643259
-104.770737,90,497.861077
-108.012545,49,498.013083
-109.235573,61,498.152841
-101.972273,69,498.330988
-118.550321,73,498.514147
-98.812324,72,498.672735
-105.642432,45,498.789363
-107.04118,106,499.06322
-106.872976,66,499.224295
-97.21963,81,499.415775
-102.365463,75,499.602177
-109.726562,57,499.74704
-111.187722,51,499.873132
-121.800106,90,500.10982
-116.360626,84,500.31905
-113.549902,71,500.495769
-106.462107,64,500.648
-146.370123,270,501.311866
-102.90513,63,501.471052
-101.379093,81,501.648641
-101.566961,72,501.833709
-112.591843,67,502.011974
-117.696947,124,502.313335
-109.828585,54,502.457132
-105.284017,73,502.628152
-102.57391,71,502.801502
-99.531828,109,503.078042
-100.723951,70,503.268933
-104.505043,63,503.416559
-122.383927,144,503.769259
-102.678865,83,503.970608
-95.923163,90,504.224425
-101.581401,71,504.384497
-95.221609,89,504.593972
-101.8382,66,504.775807
-101.586168,100,505.017265
-103.657808,65,505.192118
-103.516686,91,505.418194
-104.077204,75,505.608368
-101.561953,91,505.831445
-105.531986,72,506.02037
-101.440723,89,506.262541
-116.939605,118,506.545283
-100.311555,73,506.739031
-121.829359,88,506.949799
-103.521105,67,507.118046
-103.430569,61,507.291184
-99.63336,85,507.502229
-101.195495,85,507.721411
-117.151573,97,507.945852
-101.502597,76,508.157104
-98.503593,93,508.396
-99.901205,192,508.870471
-105.115078,108,509.135549
-101.495822,138,509.486144
-101.551956,90,509.700856
-96.390582,1425,513.227142
27.560502,1600,517.196142
-143.399016,1600,521.212312
-129.834491,1600,525.273287
-138.666673,1600,529.283229
-131.773912,1600,533.239048
-111.852138,38,533.333191
-111.225321,38,533.428852
-108.664172,40,533.536643
-108.673294,36,533.624668
-109.259346,35,533.721656
-109.220103,35,533.811321
-109.071603,36,533.910384
-109.447461,38,534.017997
-109.814603,37,534.109771
-109.031407,39,534.211729
-110.023436,41,534.321835
-148.911114,1600,538.333182
-106.353435,45,538.443345
-108.285584,39,538.557965
-111.655341,39,538.654325
-146.885797,1600,542.55609
-110.931631,35,542.639219
-112.727891,36,542.734324
-111.935118,37,542.822115
-114.007988,39,542.921571
-137.725639,1600,546.961472
-113.800256,38,547.062237
-133.132012,1600,550.994824
-110.851288,35,551.075396
-112.006191,38,551.175521
-108.996791,35,551.263752
-124.05623,51,551.391572
-112.338195,39,551.492109
-109.659256,34,551.575222
-114.393778,42,551.683852
-135.760154,1600,555.614117
-114.68236,37,555.700072
-114.828801,43,555.803257
-113.649451,39,555.915753
-111.230295,36,555.996923
-119.52555,43,556.110296
-113.933486,41,556.220807
-112.518253,36,556.302079
-111.084582,36,556.402082
-124.976433,51,556.519429
-125.104747,51,556.658969
-120.87764,50,556.775178
-115.021031,43,556.889195
-118.781903,47,556.999215
-126.113537,52,557.134046
-121.027686,47,557.249834
-123.424532,51,557.385349
-110.414995,38,557.476634
-110.99265,36,557.555837
-106.86991,38,557.668278
-109.475742,40,557.762913
-110.538674,41,557.868158
-108.299568,37,557.960417
-109.536466,42,558.061847
-110.539809,37,558.161511
-131.520305,1600,562.070835
-109.813591,33,562.150691
-109.498884,34,562.239519
-109.906059,35,562.329485
-116.244523,43,562.429335
-113.927768,39,562.534452
-111.561283,38,562.629941
-111.087034,37,562.717507
-109.007218,33,562.829747
-112.403701,38,562.920361
-111.402981,41,563.019111
-114.744633,42,563.134404
-107.873331,33,563.219405
-109.495738,36,563.324289
-108.505416,33,563.409265
-108.486988,34,563.487367
-109.306826,33,563.579611
-110.170697,42,563.67742
-109.982186,38,563.77355
-109.647404,39,563.881637
-109.587854,35,563.974452
-108.187011,35,564.058973
-111.423458,49,564.18691
-108.71583,32,564.272122
-107.14703,36,564.370503
-110.525155,38,564.460432
-107.095914,38,564.551673
-107.532387,39,564.657109
-109.463017,39,564.74234
-107.798971,42,564.85775
-108.819905,39,564.961675
-110.107847,45,565.081428
-107.351364,36,565.172358
-110.43325,43,565.286617
-109.507917,54,565.439314
-108.394387,46,565.578742
-106.602761,44,565.693847
-113.367187,46,565.809798
-108.414221,45,565.950428
-110.8464,49,566.05928
-109.240957,51,566.197378
-108.393424,52,566.330345
-123.928929,1600,570.270202
-107.643791,36,570.361002
-108.243244,42,570.481468
-113.308778,96,570.714462
-128.110784,1600,574.615831
-127.3314,1600,578.498946
-101.695276,1600,582.42411
-66.749,1600,586.426028
-104.225775,56,586.5666
-89.432477,930,588.911903
-104.305481,73,589.083625
-102.407597,85,589.298607
-106.022524,80,589.483672
-111.919801,78,589.686817
-105.749944,1519,593.406593
-103.910544,351,594.258443
-97.219533,222,594.801495
-98.757247,633,596.381744
-88.918181,591,597.891124
-93.572842,231,598.47592
-97.023102,77,598.6788
-104.283406,312,599.477981
-99.795435,394,600.479717
-93.906035,204,600.992863
-101.232102,75,601.194306
-97.439692,163,601.602521
-99.190979,197,602.098106
-100.127208,91,602.315029
-102.663041,101,602.56822
-96.422267,137,602.916808
-102.500657,1154,605.82136
-112.824648,558,607.238693
-100.351944,369,608.155294
-121.231172,668,609.873129
-98.055986,582,611.317662
-105.589821,141,611.667907
-118.208465,386,612.611418
-112.843977,38,612.715001
-95.095477,454,613.844751
-105.078923,95,614.078937
-100.138001,103,614.345713
-98.255907,126,614.656532
-102.228585,88,614.857297
-106.72797,117,615.156924
-102.144741,90,615.390651
-105.158641,111,615.660803
-102.696488,112,615.94419
-101.283094,681,617.628674
-94.536936,119,617.924673
-103.249213,96,618.165909
-93.560834,102,618.42908
-97.691369,79,618.63998
-94.326433,120,618.935115
-115.061669,86,619.149025
-111.016043,69,619.31705
-101.326466,67,619.485615
-89.449227,103,619.740361
-99.814301,113,620.014324
-80.213581,465,621.165857
-103.002257,95,621.411851
-95.133304,120,621.709075
-6.125025,1600,625.643512
-108.133599,103,625.907153
-97.435173,108,626.166533
-113.731787,78,626.396604
-93.075657,236,626.966691
-92.679299,953,629.356348
-109.861307,510,630.591225
-120.0433,91,630.824231
-107.094956,44,630.938704
-66.34369,1600,634.932554
-116.619547,1600,638.915854
-91.631685,1600,642.920449
-69.938172,1600,646.99484
-42.260658,1566,650.918157
-117.341085,67,651.075305
-111.847703,69,651.256951
-106.84448,45,651.377819
-110.812145,49,651.502702
-115.371608,63,651.665542
-105.645097,98,651.904842
-52.69474,590,653.360413
-110.787944,59,653.513313
-121.82411,77,653.704309
-116.089215,67,653.880035
-119.027589,83,654.06949
-84.92239,149,654.427729
-93.353545,135,654.76532
-99.997777,90,654.98496
-97.784862,88,655.205409
-96.669326,96,655.458936
-102.93449,51,655.599063
-98.618134,67,655.75967
-100.04952,72,655.93635
-100.918543,79,656.139241
-96.557698,80,656.341804
-98.785538,79,656.54891
-98.531206,84,656.768393
-103.391336,53,656.919581
-99.516175,68,657.080448
-102.4195,46,657.205837
-97.831591,81,657.426132
-101.329699,53,657.561841
-90.625926,140,657.908528
-104.243172,52,658.029232
-100.566359,60,658.184741
-103.17423,44,658.297013
-101.386399,68,658.47474
-99.081922,101,658.744322
-100.1339,72,658.924449
-97.350568,70,659.093168
-98.881938,89,659.320152
-107.315938,710,661.054106
-97.667302,84,661.273468
-102.02023,87,661.494709
-94.167911,194,661.976686
-62.159982,1600,666.068891
-109.379863,1600,670.090963
-114.162388,1600,674.157494
-113.595291,1600,678.200333
-93.087741,1600,682.168967
-87.730551,1600,686.214964
-107.976068,1600,690.344212
-90.13633,1600,694.371213
-2.909575,1600,698.404293
208.358209,1600,702.418612
-87.340725,281,703.126194
-98.245178,174,703.544226
193.720509,1600,707.717559
-39.120981,576,709.206659
-117.392828,69,709.386368
-107.74568,44,709.497787
-107.688518,44,709.610188
-107.2259,44,709.716268
-22.855028,1191,712.62832
-106.671236,44,712.744274
-107.053293,44,712.850879
-116.654475,67,713.035368
-114.46412,78,713.244084
-107.100143,44,713.367456
-107.20621,44,713.477777
-107.027799,45,713.602094
-107.237536,43,713.704983
-106.801727,43,713.823137
-107.184099,44,713.941848
-106.517217,44,714.062416
-106.171395,44,714.173473
-106.774845,45,714.297715
-106.898177,44,714.424039
-106.956328,45,714.545153
-106.704122,44,714.665074
-119.293149,61,714.825795
